Unnamed: 0,Tweets,ID,Sentiment
37,@realDonaldTrump From President Obama https://t.co/84vms9VGRc,1347483767028387841,0
38,"RT @BradleyWhitford: This is on you @HawleyMO, @tedcruz, @LouieGohmertTX1 @realDonaldTrump, @DonaldJTrumpJr, @IvankaTrump and all the rest…",1347483766403588096,0
39,"RT @realDonaldTrump: They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is wo…",1347483766357446656,-1
40,@Mattjes2 @prayerfeathers @realDonaldTrump Get an education.,1347483766311284736,0
41,@Callsign_Qtip @Lady2018Cat @BriteEyes8 @PatPenn2 @EnemyOfTheLeft @jessjackie50 @FoundinNV @nfulmer0827 @DonnaWR8… https://t.co/9x3SfSsIey,1347483763777835012,0
42,@IvankaTrump @realDonaldTrump The only healing this country will endure is when your father is in prison-for life.… https://t.co/KHhdMFs5AS,1347483762607726593,0
44,"@realDonaldTrump I just love this man,,,we will not forget,,we will remember you for what you represent",1347483760032423942,1
45,RT @EvanAKilgore: RT if you think @realDonaldTrump is the greatest President in modern history!,1347483759784955904,1
46,A Capitol Police officer dies from injuries sustained during the pro-Trump rampage. https://t.co/TYewGNSOHc… https://t.co/8x9CiBKmXc,1347483759503958017,0
47,"@foxyfoxhh88 @realDonaldTrump @RSBNetwork Please do, I need to fill the kettle to make a cup of tea. https://t.co/WReOPGamsS",1347483759000563713,0
49,@realDonaldTrump Mr Giulani is the crook who gave you so bad advice. Fire him !,1347483756232404993,-1
50,"@Cannadablissed @retiredknitwit @desicool21 @Matrixdot @Abihabib @realDonaldTrump @GOP I got you, you cant be blame… https://t.co/2m461me8GH",1347483755296870402,0
51,"@loveisphere @newitt_monika @LindseyGrahamSC @realDonaldTrump Your hipocrisy is showing
Harris called for violence
https://t.co/0wfY2ZaHGh",1347483754864930819,0
52,@realDonaldTrump You will be disrespectfully remembered by History as an enemy of democracy. No different to Gaddaf… https://t.co/4kjItdhZ6v,1347483754558877698,0
53,RT @funder: What crimes can @realDonaldTrump be prosecuted for? For the failed coup and in general?,1347483753103429634,-1
54,@peterndoro @realDonaldTrump I just see people trying to relax their nerves,1347483752755326976,0
55,@federalpost101 @ErrolWebber @realDonaldTrump This has already been proven fake dude.,1347483751438299137,-1
56,"@SearchQueen @thecjpearson @realDonaldTrump If he was a part of the mob in DC, he has done something wrong.  Right… https://t.co/DC6y1CIqDI",1347483751044018177,-1
57,@realDonaldTrump  Sir please let us know that you are not giving up.,1347483749701836801,0
58,RT @eugenegu: @realDonaldTrump You should have said this yesterday instead of telling the mob of rioters carrying Confederate and Trump fla…,1347483749391474689,0
59,"@realDonaldTrump Hey Trumpy, if you were in the UK you’d be expelled from the party. Told you do not represent Repu… https://t.co/fKbhCtCadv",1347483747680182272,0
60,"@IvankaTrump @realDonaldTrump @IvankaTrump Your father’s going to prison where he belongs. You may end up there, too.",1347483747352858625,0
61,@shinelight09 @jackfallstaff @nicomaxson76 @AdelaideGooner @realDonaldTrump Yes he did in fact incite violence. And… https://t.co/PlLk9wuahk,1347483747302715392,0
63,@realDonaldTrump You f,1347483746686152704,0
64,@ShawnFoxall @DixT3 @realDonaldTrump @RudyGiuliani Trump was warned https://t.co/z9DjnI1S7C,1347483744177942528,0
65,"@kiloknight @realDonaldTrump ...and if you are born again....you have accepted Christ is Lord and no other, and the… https://t.co/UTd3ob8JdH",1347483743255220224,1
66,@Cynethryth5 @thejtlewis @realDonaldTrump More troops brought back home. Israel given Jerusalem back as the capital… https://t.co/b73lhqVB8t,1347483741711704064,1
67,@AlqhaIsHere @brett_wristen @Tailoredfitatl @EdGrapeNutZimm @CraigCaplan @realDonaldTrump Yes a former soldier that… https://t.co/deCbyopKMm,1347483740688113668,0
68,"RT @TomFitton: Four years ago this week, Obama, Biden, Comey were talking about spying on and targeting for prosecution @realDonaldTrump te…",1347483740210163713,0
70,RT @CandyHazenBell: @ScottBaio @realDonaldTrump Pence is a TRAITOR!,1347483738981212160,0
71,@KanekoaTheGreat @realDonaldTrump Foreign interfere https://t.co/2UzCNI1djE,1347483737941028865,-1
72,@realDonaldTrump Threw ur supporters under the bus but hey what’s new sad to see all of the brainless folk out here that follow u 🤷🏾‍♂️,1347483737903263745,-1
73,Her blood is on @realDonaldTrump hands. He’s the one that kept egging on his fanatics by claiming election fraud. H… https://t.co/9W8vwpVjSd,1347483736267501568,0
74,"RT @SebGorka: This man crushed ISIS.
He contained Iran, Russia, 
N. Korea &amp; China. 
Then took on Big Pharma. 
Gave Black America real Crimi…",1347483734640046080,-1
75,@ErrolWebber @realDonaldTrump Pathetic,1347483733163651073,-1
76,RT @davidwebbshow: Well @RepKinzinger your midterm election should be interesting. You called for the 25th Amendment to be used against @re…,1347483732886872065,1
